同居する,する,動詞,サ変動詞
動作する,する,動詞,サ変動詞
倒産する,する,動詞,サ変動詞
登場する,する,動詞,サ変動詞
同情する,する,動詞,サ変動詞
当選する,する,動詞,サ変動詞
導入する,する,動詞,サ変動詞
投票する,する,動詞,サ変動詞
登録する,する,動詞,サ変動詞
通す,通す,動詞,子音動詞サ行
解き放す,放す,動詞,子音動詞サ行
解く,解く,動詞,子音動詞カ行
特集する,する,動詞,サ変動詞
読書する,する,動詞,サ変動詞
特徴する,する,動詞,サ変動詞
特定する,する,動詞,サ変動詞
溶ける,溶ける,動詞,母音動詞
登山する,する,動詞,サ変動詞
閉じ込める,込める,動詞,母音動詞
とじこもる,とじこもる,動詞,子音動詞ラ行
整う,整う,動詞,子音動詞ワ行
整える,整える,動詞,母音動詞
怒鳴る,怒鳴る,動詞,子音動詞ラ行
飛ばす,飛ばす,動詞,子音動詞サ行
跳び上がる,上がる,動詞,子音動詞ラ行
飛び出す,飛び出す,動詞,子音動詞サ行
飛び回る,飛び回る,動詞,子音動詞ラ行
飛ぶ,飛ぶ,動詞,子音動詞バ行
跳ぶ,跳ぶ,動詞,子音動詞バ行
伴う,伴う,動詞,子音動詞ワ行
捉える,捉える,動詞,母音動詞
取り上げる,上げる,動詞,母音動詞
取り扱う,取り扱う,動詞,子音動詞ワ行
取り入れる,取り入れる,動詞,母音動詞
取り返す,返す,動詞,子音動詞サ行
取りかかる,取りかかる,動詞,子音動詞ラ行
取り組む,取り組む,動詞,子音動詞マ行
取り消す,取り消す,動詞,子音動詞サ行
取り出す,取り出す,動詞,子音動詞サ行
取り立てる,取り立てる,動詞,母音動詞
取り付ける,取り付ける,動詞,母音動詞
取り除く,取り除く,動詞,子音動詞カ行
取り外す,取り外す,動詞,子音動詞サ行
取り戻す,取り戻す,動詞,子音動詞サ行
努力する,する,動詞,サ変動詞
採る,採る,動詞,子音動詞ラ行
取る,取る,動詞,子音動詞ラ行
トレーニングする,する,動詞,サ変動詞
長生きする,する,動詞,サ変動詞
流す,流す,動詞,子音動詞サ行
長引く,長引く,動詞,子音動詞カ行
眺める,眺める,動詞,母音動詞
流れる,流れる,動詞,母音動詞
鳴く,鳴く,動詞,子音動詞カ行
慰める,慰める,動詞,母音動詞
亡くす,亡くす,動詞,子音動詞サ行
なぐり合う,なぐり合う,動詞,子音動詞ワ行
なぐる,なぐる,動詞,子音動詞ラ行
投げ入れる,投げ入れる,動詞,母音動詞
嘆く,嘆く,動詞,子音動詞カ行
投げ出す,投げ出す,動詞,子音動詞サ行
成す,成す,動詞,子音動詞サ行
懐かしむ,懐かしむ,動詞,子音動詞マ行
納得する,する,動詞,サ変動詞
怠ける,怠ける,動詞,母音動詞
悩む,悩む,動詞,子音動詞マ行
鳴らす,鳴らす,動詞,子音動詞サ行
成り立つ,成り立つ,動詞,子音動詞タ行
鳴る,鳴る,動詞,子音動詞ラ行
なんとかする,する,動詞,子音動詞ラ行
なんとかなる,なる,動詞,子音動詞ラ行
似合う,似合う,動詞,子音動詞ワ行
握る,握る,動詞,子音動詞ラ行
にぎわう,にぎわう,動詞,子音動詞ワ行
憎む,憎む,動詞,子音動詞マ行
煮込む,込む,動詞,子音動詞マ行
濁る,濁る,動詞,子音動詞ラ行
荷造りする,する,動詞,サ変動詞
担う,担う,動詞,子音動詞ワ行
入社する,する,動詞,サ変動詞
入賞する,する,動詞,サ変動詞
似る,似る,動詞,母音動詞
煮る,煮る,動詞,母音動詞
認知する,する,動詞,サ変動詞
抜き取る,抜き取る,動詞,子音動詞ラ行
抜く,抜く,動詞,子音動詞カ行
盗む,盗む,動詞,子音動詞マ行
塗り替える,替える,動詞,母音動詞
塗る,塗る,動詞,子音動詞ラ行
値上がりする,する,動詞,サ変動詞
値下がりする,する,動詞,サ変動詞
ねらう,ねらう,動詞,子音動詞ワ行
逃す,逃す,動詞,子音動詞サ行
残す,残す,動詞,子音動詞サ行
乗せる,乗せる,動詞,母音動詞
載せる,載せる,動詞,母音動詞
のぞく,のぞく,動詞,子音動詞カ行
除く,除く,動詞,子音動詞カ行
臨む,臨む,動詞,子音動詞マ行
望む,望む,動詞,子音動詞マ行
乗っ取る,乗っ取る,動詞,子音動詞ラ行
伸ばす,伸ばす,動詞,子音動詞サ行
延ばす,延ばす,動詞,子音動詞サ行
伸びる,伸びる,動詞,母音動詞
延びる,延びる,動詞,母音動詞
述べる,述べる,動詞,母音動詞
上る,上る,動詞,子音動詞ラ行
乗り越える,乗り越える,動詞,母音動詞
載る,載る,動詞,子音動詞ラ行
把握する,する,動詞,サ変動詞
ハイジャックする,する,動詞,サ変動詞
はう,はう,動詞,子音動詞ワ行
生える,生える,動詞,母音動詞
破壊する,する,動詞,サ変動詞
はがす,はがす,動詞,子音動詞サ行
拍手する,する,動詞,サ変動詞
爆発する,する,動詞,サ変動詞
励ます,励ます,動詞,子音動詞サ行
励む,励む,動詞,子音動詞マ行
始める,始める,動詞,母音動詞
走り回る,走り回る,動詞,子音動詞ラ行
はずれる,はずれる,動詞,母音動詞
働きかける,働きかける,動詞,母音動詞
発揮する,する,動詞,サ変動詞
はっきりする,する,動詞,子音動詞ラ行
発言する,する,動詞,サ変動詞
発行する,する,動詞,サ変動詞
発生する,する,動詞,サ変動詞
発想する,する,動詞,サ変動詞
発達する,する,動詞,サ変動詞
発展する,する,動詞,サ変動詞
発売する,する,動詞,サ変動詞
ばてる,ばてる,動詞,母音動詞
話し合う,合う,動詞,子音動詞ワ行
話しかける,かける,接尾辞,母音動詞
放す,放す,動詞,子音動詞サ行
離れる,離れる,動詞,母音動詞
跳ねる,跳ねる,動詞,母音動詞
はまる,はまる,動詞,子音動詞ラ行
晴らす,晴らす,動詞,子音動詞サ行
張り付ける,張り付ける,動詞,母音動詞
パレードする,する,動詞,サ変動詞
ばれる,ばれる,動詞,母音動詞
繁栄する,する,動詞,サ変動詞
パンクする,する,動詞,サ変動詞
反抗する,する,動詞,サ変動詞
反する,反する,動詞,サ変動詞
反省する,する,動詞,サ変動詞
反則する,する,動詞,サ変動詞
判断する,する,動詞,サ変動詞
判定する,する,動詞,サ変動詞
反応する,する,動詞,サ変動詞
販売する,する,動詞,サ変動詞
反論する,する,動詞,サ変動詞
冷える,冷える,動詞,母音動詞
比較する,する,動詞,サ変動詞
引き上げる,引き上げる,動詞,母音動詞
引き受ける,引き受ける,動詞,母音動詞
引き起こす,引き起こす,動詞,子音動詞サ行
引き返す,返す,動詞,子音動詞サ行
引き下がる,引き下がる,動詞,子音動詞ラ行
引き下げる,引き下げる,動詞,母音動詞
引き出す,引き出す,動詞,子音動詞サ行
ひきつける,つける,動詞,母音動詞
引き取る,引き取る,動詞,子音動詞ラ行
引き伸ばす,引き伸ばす,動詞,子音動詞サ行
引き分ける,引き分ける,動詞,母音動詞
引く,引く,動詞,子音動詞カ行
ひく,ひく,動詞,子音動詞カ行
否決する,する,動詞,サ変動詞
引っかかる,引っかかる,動詞,子音動詞ラ行
引っかける,引っかける,動詞,母音動詞
引っくり返す,引っくり返す,動詞,子音動詞サ行
ひっくり返る,ひっくり返る,動詞,子音動詞ラ行
ヒットする,する,動詞,サ変動詞
引っ張る,引っ張る,動詞,子音動詞ラ行
否定する,する,動詞,サ変動詞
一安心する,する,動詞,サ変動詞
ひねる,ひねる,動詞,子音動詞ラ行
批判する,する,動詞,サ変動詞
評価する,する,動詞,サ変動詞
表記する,する,動詞,サ変動詞
表現する,する,動詞,サ変動詞
表示する,する,動詞,サ変動詞
表彰する,する,動詞,サ変動詞
広がる,広がる,動詞,子音動詞ラ行
広げる,広げる,動詞,母音動詞
広まる,広まる,動詞,子音動詞ラ行
広める,広める,動詞,母音動詞
ファウルする,する,動詞,サ変動詞
フィードバックする,する,動詞,サ変動詞
深まる,深まる,動詞,子音動詞ラ行
深める,深める,動詞,母音動詞
普及する,する,動詞,サ変動詞
吹く,吹く,動詞,子音動詞カ行
拭く,拭く,動詞,子音動詞カ行
含む,含む,動詞,子音動詞マ行
含める,含める,動詞,母音動詞
ふくらむ,ふくらむ,動詞,子音動詞マ行
防ぐ,防ぐ,動詞,子音動詞ガ行
負担する,する,動詞,サ変動詞
ぶつける,ぶつける,動詞,母音動詞
