だ,だ,判定詞,
致す,致す,動詞,子音動詞サ行
いたす,いたす,動詞,子音動詞サ行
浮かべる,浮かべる,動詞,母音動詞
うかべる,うかべる,動詞,母音動詞
歩く,歩く,動詞,子音動詞カ行
あるく,あるく,動詞,子音動詞カ行
傷む,傷む,動詞,子音動詞マ行
いたむ,いたむ,動詞,子音動詞マ行
受かる,受かる,動詞,子音動詞ラ行
うかる,うかる,動詞,子音動詞ラ行
併せる,併せる,動詞,母音動詞
痛む,痛む,動詞,子音動詞マ行
浮かれる,浮かれる,動詞,母音動詞
うかれる,うかれる,動詞,母音動詞
慌てる,慌てる,動詞,母音動詞
あわてる,あわてる,動詞,母音動詞
悼む,悼む,動詞,子音動詞マ行
受ける,受ける,動詞,母音動詞
うける,うける,動詞,母音動詞
哀れむ,哀れむ,動詞,子音動詞マ行
あわれむ,あわれむ,動詞,子音動詞マ行
傷める,傷める,動詞,母音動詞
いためる,いためる,動詞,母音動詞
請ける,請ける,動詞,母音動詞
言う,言う,動詞,子音動詞ワ行
いう,いう,動詞,子音動詞ワ行
痛める,痛める,動詞,母音動詞
撃つ,撃つ,動詞,子音動詞タ行
うつ,うつ,動詞,子音動詞タ行
生かす,生かす,動詞,子音動詞サ行
いかす,いかす,動詞,子音動詞サ行
至る,至る,動詞,子音動詞ラ行
いたる,いたる,動詞,子音動詞ラ行
打つ,打つ,動詞,子音動詞タ行
生きる,生きる,動詞,母音動詞
いきる,いきる,動詞,母音動詞
抱く,抱く,動詞,子音動詞カ行
いだく,いだく,動詞,子音動詞カ行
討つ,討つ,動詞,子音動詞タ行
行く,行く,動詞,子音動詞カ行促音便形
いく,いく,動詞,子音動詞カ行促音便形
頂く,頂く,動詞,子音動詞カ行
いただく,いただく,動詞,子音動詞カ行
埋まる,埋まる,動詞,子音動詞ラ行
うまる,うまる,動詞,子音動詞ラ行
逝く,逝く,動詞,子音動詞カ行促音便形
慈しむ,慈しむ,動詞,子音動詞マ行
いつくしむ,いつくしむ,動詞,子音動詞マ行
産まれる,産まれる,動詞,母音動詞
うまれる,うまれる,動詞,母音動詞
生ける,生ける,動詞,母音動詞
いける,いける,動詞,母音動詞
偽る,偽る,動詞,子音動詞ラ行
いつわる,いつわる,動詞,子音動詞ラ行
生まれる,生まれる,動詞,母音動詞
忌む,忌む,動詞,子音動詞マ行
いむ,いむ,動詞,子音動詞マ行
臨む,臨む,動詞,子音動詞マ行
いどむ,いどむ,動詞,子音動詞マ行
産む,産む,動詞,子音動詞マ行
うむ,うむ,動詞,子音動詞マ行
鋳る,鋳る,動詞,母音動詞
いる,いる,動詞,母音動詞
挑む,挑む,動詞,子音動詞マ行
生む,生む,動詞,子音動詞マ行
入る,入る,動詞,子音動詞ラ行
営む,営む,動詞,子音動詞マ行
いとなむ,いとなむ,動詞,子音動詞マ行
埋める,埋める,動詞,母音動詞
うめる,うめる,動詞,母音動詞
居る,居る,動詞,子音動詞ラ行
祈る,祈る,動詞,子音動詞ラ行
いのる,いのる,動詞,子音動詞ラ行
埋もれる,埋もれる,動詞,母音動詞
うもれる,うもれる,動詞,母音動詞
射る,射る,動詞,母音動詞
折る,折る,動詞,子音動詞ラ行
得る,得る,動詞,母音動詞
うる,うる,動詞,母音動詞
要る,要る,動詞,子音動詞ラ行
戒める,戒める,動詞,母音動詞
いましめる,いましめる,動詞,母音動詞
売る,売る,動詞,子音動詞ラ行
入れる,入れる,動詞,母音動詞
いれる,いれる,動詞,母音動詞
卑しむ,卑しむ,動詞,子音動詞マ行
いやしむ,いやしむ,動詞,子音動詞マ行
売れる,売れる,動詞,母音動詞
うれる,うれる,動詞,母音動詞
怒る,怒る,動詞,子音動詞ラ行
いかる,いかる,動詞,子音動詞ラ行
卑しめる,卑しめる,動詞,母音動詞
いやしめる,いやしめる,動詞,母音動詞
熟れる,熟れる,動詞,母音動詞
憤る,憤る,動詞,子音動詞ラ行
いきどおる,いきどおる,動詞,子音動詞ラ行
彩る,彩る,動詞,子音動詞ラ行
いろどる,いろどる,動詞,子音動詞ラ行
植わる,植わる,動詞,子音動詞ラ行
うわる,うわる,動詞,子音動詞ラ行
憩う,憩う,動詞,子音動詞ワ行
いこう,いこう,動詞,子音動詞ワ行
祝う,祝う,動詞,子音動詞ワ行
いわう,いわう,動詞,子音動詞ワ行
伺う,伺う,動詞,子音動詞ワ行
うかがう,うかがう,動詞,子音動詞ワ行
勇む,勇む,動詞,子音動詞マ行
いさむ,いさむ,動詞,子音動詞マ行
飢える,飢える,動詞,母音動詞
うえる,うえる,動詞,母音動詞
承る,承る,動詞,子音動詞ラ行
うけたまわる,うけたまわる,動詞,子音動詞ラ行
誘う,誘う,動詞,子音動詞ワ行
いざなう,いざなう,動詞,子音動詞ワ行
植える,植える,動詞,母音動詞
動かす,動かす,動詞,子音動詞サ行
うごかす,うごかす,動詞,子音動詞サ行
動く,動く,動詞,子音動詞カ行
うごく,うごく,動詞,子音動詞カ行
潤む,潤む,動詞,子音動詞マ行
うるむ,うるむ,動詞,子音動詞マ行
降りる,降りる,動詞,母音動詞
おりる,おりる,動詞,母音動詞
浮く,浮く,動詞,子音動詞カ行
潤う,潤う,動詞,子音動詞ワ行
